,Unnamed: 0,code,最新价,最新涨跌幅,market_code,股票代码,流通a股[20100104],股票简称,dde大单净流入量[20100104],资金流向[20100104],dde大单净量[20100104],集中度90[20100104],主力资金流向[20100104],主力卖出金额[20100104],90%成本上限[20100104],主力买入金额[20100104],平均成本[20100104],资金流出inner[20100104],收盘获利[20100104],集中度70[20100104],90%成本下限[20100104],资金流入inner[20100104]
14,,600761,12.36,9.672,17,600761.SH,356954477.0,安徽合力,-464079.0,-9138275.0,-0.1300107,26.565,-6880629.0,11129820.0,3.74,4249191.0,3.2,26930013.0,75.969,19.149,2.17,17791738.0
15,,600757,5.57,2.202,17,600757.SH,295378527.0,长江传媒,-26714.0,-1537915.0,-0.00904399,10.142,660215.0,0.0,5.43,660215.0,4.97,4365817.0,16.456,6.014,4.43,2827902.0
16,,600781,2.29,0.439,22,600781.SH,105565003.0,*ST辅仁,-125409.0,-4392155.0,-0.11879789,9.465,-1219003.0,1883089.0,11.97,664086.0,11.01,10064189.0,50.529,5.738,9.9,5672034.0
17,,002689,4.09,1.995,33,002689.SZ,,远大智能,,,,,,,,,,,,,,
18,,002683,27.44,4.414,33,002683.SZ,,广东宏大,,,,,,,,,,,,,,
19,,002676,3.96,1.539,33,002676.SZ,,顺威股份,,,,,,,,,,,,,,
20,,002664,13.84,4.769,33,002664.SZ,,信质集团,,,,,,,,,,,,,,
21,,002673,6.10,1.161,33,002673.SZ,,西部证券,,,,,,,,,,,,,,
22,,600763,132.87,10.001,17,600763.SH,160320000.0,通策医疗,-177271.0,-5607422.0,-0.11057323,9.905,-869505.0,3395854.0,5.77,2526349.0,5.22,16194209.0,33.845,6.628,4.73,10586787.0
23,,600783,12.42,0.976,17,600783.SH,202278900.0,鲁信创投,-35725.0,-5127424.0,-0.01766126,12.74,-1712618.0,7181553.0,12.92,5468935.0,10.84,21224424.0,49.996,7.052,10.0,16097000.0
24,,002696,6.45,0.467,33,002696.SZ,,百洋股份,,,,,,,,,,,,,,
25,,600767,5.70,0.176,22,600767.SH,252251049.0,*ST运盛,-573400.0,-3866766.0,-0.22731323,9.823,-2862486.0,2862486.0,6.82,0.0,6.4,9240822.0,22.216,6.56,5.6,5374056.0
26,,002697,4.64,1.532,33,002697.SZ,,红旗连锁,,,,,,,,,,,,,,
